"Time (s)","Illuminance (lx)"
2.928562341E1,2.060000000E2
2.941898523E1,1.990000000E2
2.968573938E1,2.060000000E2
2.981910119E1,1.990000000E2
3.008616052E1,2.060000000E2
3.048606286E1,1.990000000E2
3.061939416E1,1.930000000E2
3.075278650E1,1.990000000E2
3.088614831E1,1.930000000E2
3.115296350E1,1.790000000E2
3.128617273E1,1.720000000E2
3.141959558E1,1.580000000E2
3.168634973E1,1.650000000E2
3.195301233E1,1.720000000E2
3.221976648E1,1.790000000E2
3.235312829E1,1.860000000E2
3.248633778E1,1.930000000E2
3.261985218E1,1.860000000E2
3.288660634E1,1.930000000E2
3.301984608E1,1.860000000E2
3.355332386E1,1.930000000E2
3.368671620E1,1.860000000E2
3.395350087E1,1.930000000E2
3.435340321E1,1.990000000E2
3.448691762E1,1.930000000E2
3.475348866E1,1.990000000E2
3.488694203E1,1.930000000E2
3.515363514E1,1.860000000E2
3.542045033E1,1.930000000E2
3.648719227E1,1.990000000E2
3.662061512E1,1.860000000E2
3.675385487E1,1.930000000E2
3.755417836E1,1.860000000E2
3.768760121E1,1.930000000E2
3.795435536E1,1.990000000E2
3.808783925E1,1.930000000E2
3.822117054E1,1.860000000E2
3.835422718E1,1.930000000E2
3.968805897E1,1.860000000E2
3.982135975E1,1.930000000E2
4.075489247E1,1.860000000E2
4.088825428E1,1.930000000E2
4.102164662E1,1.860000000E2
4.142176258E1,1.930000000E2
4.168842518E1,1.860000000E2
4.182166493E1,1.930000000E2
4.195517933E1,1.860000000E2
4.208835804E1,1.930000000E2
4.235523426E1,1.860000000E2
4.248845158E1,1.930000000E2
4.262175237E1,1.860000000E2
4.275535832E1,1.930000000E2
4.395561467E1,1.860000000E2
4.408906804E1,1.930000000E2
4.435573064E1,1.860000000E2
4.475563298E1,1.930000000E2
4.502244817E1,1.860000000E2
4.528911077E1,1.930000000E2
4.555595647E1,1.860000000E2
4.568916570E1,1.930000000E2
4.595588933E1,1.860000000E2
4.608928166E1,1.930000000E2
4.675618230E1,1.860000000E2
4.702293645E1,1.930000000E2
4.795649968E1,1.860000000E2
4.808961736E1,1.930000000E2
4.835652410E1,1.860000000E2
4.848973332E1,1.930000000E2
4.862321721E1,1.860000000E2
4.875642644E1,1.930000000E2
4.902327214E1,1.860000000E2
4.915657292E1,1.930000000E2
4.928999578E1,1.860000000E2
4.942326604E1,1.930000000E2
4.955678044E1,1.860000000E2
4.968998967E1,1.990000000E2
4.982344304E1,1.930000000E2
4.995671330E1,1.860000000E2
5.009016667E1,1.930000000E2
5.049034368E1,1.860000000E2
5.075706731E1,1.990000000E2
5.089033757E1,1.930000000E2
5.115715276E1,1.860000000E2
5.129054509E1,1.930000000E2
5.342422273E1,1.990000000E2
5.355752351E1,1.930000000E2
5.382418611E1,1.860000000E2
5.395767000E1,1.930000000E2
5.475799348E1,1.860000000E2
5.489114168E1,1.930000000E2
5.662499788E1,1.860000000E2
5.675826814E1,1.930000000E2
5.862533357E1,1.860000000E2
5.875857332E1,1.930000000E2
5.915896394E1,1.860000000E2
5.942538240E1,1.930000000E2
5.982549836E1,1.860000000E2
5.995886018E1,1.930000000E2
6.022567537E1,1.860000000E2
6.049242952E1,1.930000000E2
6.062566926E1,1.860000000E2
6.129244783E1,1.930000000E2
6.169265535E1,1.860000000E2
6.182607820E1,1.930000000E2
6.209280183E1,1.860000000E2
6.222616365E1,1.930000000E2
6.249283656E1,1.860000000E2
6.262610682E1,1.930000000E2
6.422632655E1,1.860000000E2
6.435977992E1,1.930000000E2
6.462665614E1,1.990000000E2
6.475998744E1,1.930000000E2
6.556024989E1,1.860000000E2
6.569345912E1,1.930000000E2
6.596024378E1,1.860000000E2
6.622702845E1,1.790000000E2
6.649375209E1,1.860000000E2
6.662708338E1,1.790000000E2
6.729377040E1,1.860000000E2
6.742713221E1,1.790000000E2
6.769385584E1,1.860000000E2
6.796076258E1,1.790000000E2
6.822745570E1,1.930000000E2
6.849417933E1,1.860000000E2
6.862757166E1,1.930000000E2
6.902750453E1,1.860000000E2
6.916080531E1,1.930000000E2
6.929425868E1,1.860000000E2
6.956107386E1,1.930000000E2
6.969428309E1,1.860000000E2
6.982779750E1,1.930000000E2
7.142807826E1,1.860000000E2
7.156144007E1,1.930000000E2
7.169474086E1,1.990000000E2
7.182816371E1,1.930000000E2
7.196155604E1,1.860000000E2
7.209476527E1,1.930000000E2
7.236158045E1,1.790000000E2
7.276175007E1,1.720000000E2
7.289511188E1,1.790000000E2
7.316195759E1,1.860000000E2
7.396197590E1,1.930000000E2
7.409521564E1,1.990000000E2
7.422857746E1,2.060000000E2
7.436206135E1,1.990000000E2
7.716281208E1,1.930000000E2
7.729583820E1,1.990000000E2
7.849630817E1,2.060000000E2
7.862951740E1,1.990000000E2
7.876300129E1,1.930000000E2
7.902969440E1,1.990000000E2
7.916314777E1,1.930000000E2
7.929644855E1,1.990000000E2
7.942981037E1,1.930000000E2
7.969656452E1,1.990000000E2
8.009671100E1,1.930000000E2
8.022995075E1,1.720000000E2
8.036315998E1,1.790000000E2
8.062976154E1,1.860000000E2
8.076339802E1,1.930000000E2
8.089679035E1,1.990000000E2
8.129690632E1,1.930000000E2
8.156359943E1,1.990000000E2
8.196356281E1,1.930000000E2
8.223037800E1,1.990000000E2
8.276386149E1,2.680000000E2
8.289710124E1,2.410000000E2
8.303046306E1,2.480000000E2
8.316400798E1,2.410000000E2
8.329715617E1,2.340000000E2
8.356409343E1,2.130000000E2
8.369730265E1,1.860000000E2
8.383063395E1,1.930000000E2
8.396414836E1,1.860000000E2
8.423081096E1,1.790000000E2
8.449750407E1,1.650000000E2
8.463431437E1,1.720000000E2
