"Time (s)","Illuminance (lx)"
2.900037303E1,2.680000000E2
2.913376536E1,2.750000000E2
2.926724925E1,2.820000000E2
2.940045848E1,2.750000000E2
2.966727366E1,2.820000000E2
2.980072703E1,2.750000000E2
3.060098948E1,2.680000000E2
3.073432078E1,2.820000000E2
3.086749949E1,2.750000000E2
3.100076975E1,2.820000000E2
3.113434519E1,2.750000000E2
3.153446116E1,2.680000000E2
3.166763987E1,2.750000000E2
3.393478459E1,2.680000000E2
3.406805485E1,2.750000000E2
3.433480900E1,2.680000000E2
3.446817082E1,2.750000000E2
3.473486393E1,2.680000000E2
3.486840886E1,2.750000000E2
3.500177067E1,2.680000000E2
3.540182560E1,2.750000000E2
3.580185002E1,2.680000000E2
3.593530339E1,2.750000000E2
3.620202702E1,2.680000000E2
3.633535832E1,2.750000000E2
3.660199040E1,2.680000000E2
3.673529118E1,2.750000000E2
3.686865300E1,2.680000000E2
3.713552922E1,2.750000000E2
3.793576115E1,2.680000000E2
3.806900090E1,2.750000000E2
3.820242375E1,2.680000000E2
3.833563298E1,2.750000000E2
3.860250920E1,2.680000000E2
3.873584050E1,2.750000000E2
3.966934269E1,2.680000000E2
3.980267399E1,2.750000000E2
4.006939762E1,2.680000000E2
4.020275944E1,2.750000000E2
4.060287541E1,2.680000000E2
4.073620671E1,2.750000000E2
4.113659733E1,2.820000000E2
4.126968449E1,2.750000000E2
4.140304631E1,2.680000000E2
4.153637761E1,2.750000000E2
4.247003239E1,2.680000000E2
4.260339421E1,2.750000000E2
4.300341862E1,2.680000000E2
4.313681095E1,2.750000000E2
4.540392661E1,2.820000000E2
4.553725791E1,2.680000000E2
4.567077232E1,2.750000000E2
4.580422568E1,2.680000000E2
4.593734336E1,2.750000000E2
4.633761192E1,2.680000000E2
4.647082114E1,2.750000000E2
4.713778281E1,2.680000000E2
4.740444541E1,2.750000000E2
4.767107749E1,2.820000000E2
4.780437827E1,2.750000000E2
4.940496421E1,2.680000000E2
4.953832603E1,2.750000000E2
4.967147422E1,2.680000000E2
4.980480552E1,2.750000000E2
5.113848472E1,2.680000000E2
5.127196860E1,2.820000000E2
5.140526939E1,2.680000000E2
5.153850913E1,2.750000000E2
5.180544639E1,2.680000000E2
5.193862510E1,2.750000000E2
5.287231040E1,2.680000000E2
5.300576377E1,2.750000000E2
5.340554869E1,2.680000000E2
5.353894102E1,2.750000000E2
5.433917296E1,2.680000000E2
5.447253477E1,2.750000000E2
5.513928282E1,2.680000000E2
5.527261412E1,2.750000000E2
5.540597594E1,2.680000000E2
5.553924620E1,2.750000000E2
5.567257750E1,2.680000000E2
5.580603087E1,2.750000000E2
5.593966734E1,2.680000000E2
5.620617735E1,2.750000000E2
5.633950865E1,2.680000000E2
5.647302306E1,2.750000000E2
5.700628722E1,2.680000000E2
5.713977110E1,2.750000000E2
5.727304137E1,2.680000000E2
5.740646422E1,2.750000000E2
5.833993590E1,2.680000000E2
5.847326720E1,2.750000000E2
5.860672056E1,2.680000000E2
5.887347472E1,2.820000000E2
5.900677550E1,2.750000000E2
5.927368224E1,2.680000000E2
5.967361510E1,2.750000000E2
5.980719054E1,2.680000000E2
6.007397520E1,2.750000000E2
6.020727598E1,2.680000000E2
6.060717833E1,2.750000000E2
