"Time (s)","Illuminance (lx)"
7.765017987E1,8.900000000E1
7.778332806E1,9.600000000E1
7.791678143E1,8.900000000E1
7.858352948E1,9.600000000E1
7.885031414E1,8.900000000E1
7.925039959E1,9.600000000E1
7.965060711E1,8.900000000E1
7.978366375E1,9.600000000E1
7.991714764E1,8.900000000E1
8.005060101E1,9.600000000E1
8.018393231E1,8.900000000E1
8.045056439E1,9.600000000E1
8.058383465E1,8.900000000E1
8.098410321E1,9.600000000E1
8.138418866E1,8.900000000E1
8.151745892E1,9.600000000E1
8.205087567E1,8.900000000E1
8.218417645E1,9.600000000E1
8.245123578E1,8.900000000E1
8.258426190E1,9.600000000E1
8.271777630E1,8.900000000E1
8.311792279E1,9.600000000E1
8.338458539E1,8.900000000E1
8.365115643E1,9.600000000E1
8.391812420E1,8.900000000E1
8.418463421E1,9.600000000E1
8.485156536E1,8.900000000E1
8.511831952E1,9.600000000E1
8.538504315E1,8.900000000E1
8.565191937E1,8.200000000E1
8.578515912E1,8.900000000E1
8.631858962E1,9.600000000E1
8.645189040E1,8.900000000E1
8.658525222E1,9.600000000E1
8.671870559E1,8.900000000E1
8.711866897E1,8.200000000E1
8.738551467E1,8.900000000E1
8.778560012E1,8.200000000E1
8.818568557E1,8.900000000E1
8.831886428E1,7.500000000E1
8.845222609E1,8.200000000E1
8.925224440E1,7.500000000E1
8.938572829E1,8.200000000E1
8.951921218E1,8.900000000E1
8.965245192E1,8.200000000E1
9.071952956E1,7.500000000E1
9.085283034E1,8.200000000E1
9.125297683E1,7.500000000E1
9.138618606E1,8.200000000E1
9.151963942E1,7.500000000E1
9.178621047E1,8.200000000E1
9.205296462E1,6.800000000E1
9.231974929E1,1.860000000E2
9.245347732E1,2.340000000E2
9.258638137E1,2.270000000E2
9.271977370E1,2.060000000E2
9.285337966E1,1.990000000E2
9.312013381E1,1.790000000E2
9.338676589E1,1.860000000E2
9.378663772E1,1.930000000E2
